no_letter,no_digit,no_special _char,no_keyword,length,entropy,no_semicolon,no_single_ qout,no_double_ qout,no_percentage,whit_ space,no_punctuation,no_logical _operat,no_operat,no_or,no_and,no_comment,no_null Value in the SQL Query,label
25,0,0,4,29,4.073329702,0,0,0,0,5,0,1,0,0,0,0,0,0
33,0,2,5,42,4.287403805,0,0,0,0,8,0,1,0,0,0,0,0,0
22,0,2,3,31,3.784368488,0,0,0,0,7,1,0,1,0,0,0,0,0
28,0,2,4,37,4.117389259,0,0,0,0,8,0,1,0,0,0,0,0,0
14,0,0,2,18,3.794653474,0,0,0,0,4,1,0,1,0,0,0,0,0
36,0,0,3,47,4.370514714,0,2,0,0,8,3,0,2,0,0,0,0,0
32,0,0,3,43,4.39355843,0,2,0,0,8,3,0,2,0,0,0,0,0
33,0,0,4,42,4.477879995,0,0,0,0,8,1,1,2,1,0,0,0,0
49,0,0,5,67,4.604476492,0,4,0,0,12,5,1,3,0,1,0,0,0
46,0,0,5,64,4.545729722,0,4,0,0,12,5,1,3,1,0,0,0,0
45,0,0,3,63,4.4801623,0,4,0,0,12,5,0,3,1,0,0,0,0
42,0,0,6,54,4.638875234,0,2,0,0,9,3,2,2,0,0,0,0,0
65,0,2,5,94,4.658258806,0,6,0,0,18,7,3,4,1,1,0,0,0
50,0,0,4,70,4.588137962,0,4,0,0,14,5,2,3,0,1,0,0,0
23,0,0,4,30,3.939572262,0,0,0,0,7,1,0,1,1,0,0,0,0
34,0,0,5,42,4.221811245,0,0,0,0,8,1,0,1,1,0,0,0,0
31,0,0,5,40,4.342896608,0,0,0,0,9,2,0,1,1,0,0,0,0
43,0,0,7,54,4.452965974,0,0,0,0,11,2,0,1,1,0,0,0,0
88,0,4,8,136,4.555492278,0,13,0,0,21,24,3,0,0,0,0,0,0
61,0,4,6,88,4.571715882,0,6,0,0,14,10,4,0,1,0,0,0,0
48,0,0,7,59,4.538842837,0,0,0,0,12,2,1,0,0,0,0,1,0
49,0,0,8,60,4.614409345,0,0,0,0,12,2,1,0,0,0,0,1,0
55,0,0,6,75,4.640038484,0,4,0,0,14,5,1,3,0,0,0,0,0
37,0,0,5,51,4.319100832,0,4,0,0,10,4,1,2,0,0,0,0,0
19,0,0,2,23,4.142914673,0,0,0,0,4,1,0,1,0,0,0,0,0
28,0,0,3,37,4.077715447,0,2,0,0,7,2,0,1,1,0,0,0,0
16,0,0,2,18,3.683542362,0,0,0,0,3,0,0,0,0,0,0,0,0
21,0,2,3,29,4.116264616,0,0,0,0,7,0,1,0,0,0,0,0,0
31,0,2,2,42,4.24946028,0,0,0,0,9,1,0,1,0,0,0,0,0
22,1,0,4,29,4.250752013,0,0,0,0,6,1,1,1,0,0,0,0,0
15,1,0,2,21,3.820888851,0,0,0,0,5,1,0,1,0,0,0,0,0
32,1,0,2,42,4.046381113,0,0,0,0,9,1,0,1,0,0,0,0,0
23,2,0,3,32,3.866729297,0,0,0,0,7,1,0,1,0,0,0,0,0
42,2,0,2,54,4.25195203,0,0,0,0,10,1,0,1,0,0,0,0,0
31,1,0,5,45,4.352203929,0,2,0,0,10,3,0,2,0,0,0,0,0
41,1,0,5,55,4.566923577,0,2,0,0,10,3,1,2,0,0,0,0,0
51,1,0,5,68,4.482190555,0,2,0,0,13,3,1,2,0,0,0,0,0
32,0,2,5,42,4.326724863,0,0,0,0,9,0,2,0,0,0,0,0,0
30,0,2,5,40,4.371928095,0,0,0,0,9,0,1,0,0,0,0,0,0
28,0,2,2,39,4.054632988,0,0,0,0,9,1,0,1,0,0,0,0,0
53,2,0,3,71,4.2954571,0,0,0,0,14,3,0,3,0,0,0,0,0
28,1,0,2,39,3.952068886,0,0,0,0,9,2,0,2,0,0,0,0,0
56,3,0,3,76,4.19873295,0,0,0,0,16,2,0,2,0,0,0,0,0
82,5,0,4,111,4.236998627,0,0,0,0,22,3,0,3,0,0,0,0,0
60,3,0,4,79,4.348864333,0,0,0,0,15,2,1,2,0,0,0,0,0
58,1,0,4,77,4.608934705,0,2,0,0,14,4,0,3,0,0,0,0,0
41,1,0,5,55,4.507921531,0,2,0,0,10,3,0,2,0,0,0,0,0
55,1,0,3,72,4.549532078,0,2,0,0,13,3,0,2,1,0,0,0,0
22,0,2,3,30,4.256564762,0,0,0,0,7,0,0,0,0,0,0,0,0
51,0,2,7,65,4.78599046,0,2,0,1,9,3,3,2,0,0,0,0,0
38,0,4,4,53,4.339929458,0,0,0,0,12,0,0,0,0,0,0,0,0
42,0,4,4,57,4.327132377,0,0,0,0,12,0,0,0,1,0,0,0,0
37,0,4,4,52,4.338735193,0,0,0,0,12,0,1,0,0,0,0,0,0
24,0,2,3,32,4.202819531,0,0,0,0,7,0,0,0,0,0,0,0,0
23,0,2,3,31,4.131300343,0,0,0,0,7,0,0,0,0,0,0,0,0
26,0,2,3,34,4.395998871,0,0,0,0,7,0,0,0,0,0,0,0,0
43,0,0,6,55,4.611095568,0,2,0,1,9,3,2,2,0,0,0,0,0
31,0,0,4,43,4.373680454,0,2,0,2,8,3,1,3,0,0,0,0,0
40,0,2,5,54,4.623046475,0,2,0,1,9,3,2,2,0,0,0,0,0
50,0,2,4,72,4.682795865,0,6,0,0,13,9,2,1,1,0,0,0,0
53,0,2,6,76,4.63866748,0,6,0,0,14,9,4,1,0,0,0,0,0
44,0,2,5,59,4.390454913,0,0,0,0,13,1,1,1,0,0,0,0,0
33,4,0,4,47,4.316699289,0,0,0,0,10,1,1,1,0,1,0,0,0
40,4,0,5,55,4.392622615,0,0,0,0,12,1,2,1,0,1,0,0,0
46,0,0,5,60,4.557962313,0,4,0,0,10,5,2,1,0,1,0,0,0
56,0,0,5,70,4.642781411,0,0,4,0,10,1,2,1,1,1,0,0,0
53,0,0,8,68,4.570765372,0,4,0,0,11,5,4,1,0,1,0,0,0
60,16,0,5,90,4.992854592,0,0,0,0,10,5,1,5,0,1,0,0,0
36,16,0,5,70,4.687344489,0,4,0,0,10,9,1,5,0,1,0,0,0
35,0,4,4,50,4.267683484,0,0,0,0,12,0,0,0,0,0,0,0,0
29,0,2,3,37,4.391489514,0,0,0,0,7,0,0,0,0,0,0,0,0
28,0,2,3,36,4.405764585,0,0,0,0,7,0,0,0,1,0,0,0,0
23,0,2,3,31,4.260332601,0,0,0,0,7,0,0,0,0,0,0,0,0
35,16,0,4,69,4.645688269,0,4,0,0,10,9,1,5,0,1,0,0,0
41,0,0,4,50,4.46346519,0,0,0,0,10,1,3,0,0,0,0,0,0
40,0,0,5,49,4.384818773,0,0,0,0,10,1,1,0,0,0,0,0,0
39,0,2,3,50,4.46146788,0,0,0,0,10,1,0,0,0,0,0,0,0
54,0,0,5,87,4.321017921,0,6,0,0,21,9,0,6,1,0,0,0,0
31,0,2,4,41,4.29633798,0,0,0,0,9,0,2,0,1,0,0,0,0
107,0,4,5,139,4.721434252,0,0,0,0,21,8,5,2,4,0,0,0,0
39,0,2,4,49,4.466451426,0,0,0,0,9,0,2,0,0,0,0,0,0
87,0,0,9,106,4.781847041,0,0,0,0,15,5,3,1,2,0,0,0,0
31,0,1,4,39,4.473825694,0,0,0,0,8,0,1,0,0,0,0,0,0
136,0,0,6,159,4.53727086,0,0,0,0,16,8,1,1,6,0,0,0,0
32,0,2,5,43,4.198497603,0,0,0,0,10,0,3,0,0,0,0,0,0
31,0,2,5,41,4.473048041,0,0,0,0,8,2,0,0,0,0,0,0,0
31,0,2,4,40,4.392896608,0,0,0,0,8,0,1,0,0,0,0,0,0
31,0,4,2,46,4.11467858,0,0,0,0,12,0,0,0,0,0,0,0,0
28,0,2,6,38,4.175430474,0,0,0,0,9,0,1,0,0,0,0,0,0
45,0,2,3,57,4.390103506,0,0,0,0,11,0,1,0,1,0,0,0,0
72,0,0,7,83,4.567474175,0,0,0,0,12,0,1,0,1,0,0,0,0
59,0,0,8,71,4.496450246,0,0,0,0,13,0,1,0,1,0,0,0,0
78,0,0,6,96,4.607510409,0,2,0,0,15,4,0,1,0,0,0,0,0
46,0,2,3,59,4.473568,0,0,0,0,13,1,1,0,0,0,0,0,0
103,0,4,7,129,4.818203641,0,0,0,0,19,5,2,1,3,0,0,0,0
39,2,0,2,51,4.120297587,0,0,0,0,10,1,0,1,0,0,0,0,0
11,0,0,1,12,3.418295834,0,0,0,0,2,0,0,0,0,0,0,0,0
22,0,0,2,25,4.02346519,0,0,0,0,4,0,0,0,0,0,0,0,0
32,0,0,4,36,4.482289237,0,0,0,0,5,0,1,0,0,0,0,0,0
36,0,2,5,45,4.416155942,0,0,0,0,8,0,1,0,0,0,0,0,0
19,0,2,3,28,3.896291529,0,0,0,0,7,1,0,1,0,0,0,0,0
29,0,2,4,38,4.184601936,0,0,0,0,8,0,1,0,0,0,0,0,0
14,0,0,2,18,3.794653474,0,0,0,0,4,1,0,1,0,0,0,0,0
30,0,0,3,41,4.34166214,0,2,0,0,8,3,0,2,1,0,0,0,0
32,0,0,3,43,4.411113953,0,2,0,0,8,3,0,2,0,0,0,0,0
30,0,0,4,39,4.198059348,0,0,0,0,8,1,0,2,0,0,0,0,0
45,0,0,3,63,4.537868205,0,4,0,0,12,5,0,3,0,1,0,0,0
44,0,0,4,62,4.453014088,0,4,0,0,12,5,2,3,2,0,0,0,0
42,0,0,3,60,4.316260166,0,4,0,0,12,5,0,3,1,0,0,0,0
32,0,0,6,44,4.305911448,0,2,0,0,9,3,2,2,0,0,0,0,0
66,0,2,4,95,4.58568088,0,6,0,0,18,7,2,4,2,1,0,0,0
53,0,0,6,73,4.580375322,0,4,0,0,14,5,2,3,0,1,0,0,0
29,0,0,4,36,4.120635071,0,0,0,0,7,1,0,1,1,0,0,0,0
36,0,0,5,44,4.296675722,0,0,0,0,8,1,0,1,1,0,0,0,0
29,0,0,5,38,4.269999633,0,0,0,0,9,2,0,1,1,0,0,0,0
43,0,0,7,54,4.415928937,0,0,0,0,11,2,0,1,1,0,0,0,0
93,0,4,7,141,4.694465448,0,13,0,0,21,24,3,0,2,0,0,0,0
56,0,4,6,83,4.632448572,0,6,0,0,14,10,2,0,1,0,0,0,0
49,0,0,7,60,4.487582004,0,0,0,0,12,2,2,0,0,0,0,1,0
54,0,0,9,65,4.496208436,0,0,0,0,12,2,1,0,0,0,0,1,0
50,0,0,5,70,4.555869224,0,4,0,0,14,5,2,3,1,0,0,0,0
40,0,0,4,54,4.365636576,0,4,0,0,10,4,0,2,0,0,0,0,0
13,0,0,2,17,3.690116518,0,0,0,0,4,1,0,1,0,0,0,0,0
35,0,0,3,44,4.416833824,0,2,0,0,7,2,0,1,0,0,0,0,0
15,0,0,2,17,3.572469459,0,0,0,0,3,0,0,0,0,0,0,0,0
23,0,2,3,31,4.235981391,0,0,0,0,7,0,1,0,0,0,0,0,0
29,0,2,2,40,4.003055907,0,0,0,0,9,1,0,1,0,0,0,0,0
20,1,0,3,27,4.102678596,0,0,0,0,6,1,0,1,0,0,0,0,0
17,1,0,3,23,3.914866304,0,0,0,0,5,1,1,1,0,0,0,0,0
35,1,0,2,45,4.129981707,0,0,0,0,9,1,0,1,0,0,0,0,0
27,2,0,4,36,4.051462154,0,0,0,0,7,1,1,1,0,0,0,0,0
39,2,0,2,51,4.120297587,0,0,0,0,10,1,0,1,0,0,0,0,0
36,1,0,5,50,4.483074189,0,2,0,0,10,3,1,2,0,0,0,0,0
39,1,0,6,53,4.571614558,0,2,0,0,10,3,2,2,0,0,0,0,0
56,1,0,4,73,4.622651573,0,2,0,0,13,3,0,2,0,0,0,0,0
30,0,2,5,40,4.403055907,0,0,0,0,9,0,1,0,0,0,0,0,0
35,0,2,6,45,4.283752475,0,0,0,0,9,0,1,0,0,0,0,0,0
30,0,2,2,41,4.070847431,0,0,0,0,9,1,0,1,0,0,0,0,0
57,2,0,4,75,4.340090806,0,0,0,0,14,3,2,3,0,0,0,0,0
30,1,0,2,41,3.87572548,0,0,0,0,9,2,0,2,0,0,0,0,0
57,3,0,4,77,4.270178919,0,0,0,0,16,2,2,2,0,0,0,0,0
86,5,0,3,115,4.383590694,0,0,0,0,22,3,0,3,0,0,0,0,0
59,3,0,3,78,4.331063798,0,0,0,0,15,2,0,2,0,0,0,0,0
50,1,0,4,69,4.494177662,0,2,0,0,14,4,0,3,0,0,0,0,0
38,1,0,5,52,4.507380102,0,2,0,0,10,3,2,2,0,0,0,0,0
55,1,0,5,72,4.553207946,0,2,0,0,13,3,3,2,0,0,0,0,0
27,0,2,3,35,4.436006945,0,0,0,0,7,0,0,0,0,0,0,0,0
44,0,2,5,58,4.618768875,0,2,0,1,9,3,2,2,0,0,0,0,0
37,0,4,4,52,4.338735193,0,0,0,0,12,0,1,0,2,0,0,0,0
39,0,4,5,54,4.332505367,0,0,0,0,12,0,0,0,0,0,0,0,0
38,0,4,5,53,4.31643677,0,0,0,0,12,0,0,0,0,0,0,0,0
27,0,2,4,35,4.15029266,0,0,0,0,7,0,1,0,0,0,0,0,0
26,0,2,3,34,4.197325709,0,0,0,0,7,0,0,0,0,0,0,0,0
19,0,2,3,27,4.106377317,0,0,0,0,7,0,0,0,0,0,0,0,0
38,0,0,7,50,4.51656563,0,2,0,1,9,3,3,2,0,0,0,0,0
38,0,0,5,50,4.628438191,0,2,0,2,8,3,1,3,1,0,0,0,0
41,0,2,6,55,4.683822841,0,2,0,1,9,3,2,2,1,0,0,0,0
59,0,2,4,81,4.756707321,0,6,0,0,13,9,1,1,2,0,0,0,0
46,0,2,5,69,4.582666304,0,6,0,0,14,9,2,1,1,0,0,0,0
55,0,2,5,70,4.650013374,0,0,0,0,13,1,2,1,0,0,0,0,0
39,4,0,5,53,4.554697634,0,0,0,0,10,1,2,1,0,1,0,0,0
37,4,0,5,52,4.308506249,0,0,0,0,11,1,2,1,0,1,0,0,0
51,0,0,4,65,4.569360552,0,4,0,0,10,5,1,1,1,1,0,0,0
44,0,0,4,58,4.277108849,0,0,4,0,10,1,1,1,1,1,0,0,0
46,0,0,6,61,4.436713929,0,4,0,0,11,5,3,1,0,1,0,0,0
57,16,0,6,87,4.980019434,0,0,0,0,10,5,4,5,0,1,0,0,0
36,16,0,5,70,4.65877306,0,4,0,0,10,9,1,5,0,1,0,0,0
41,0,4,3,56,4.4580063,0,0,0,0,12,0,0,0,0,0,0,0,0
28,0,2,3,36,4.273684376,0,0,0,0,7,0,0,0,0,0,0,0,0
33,0,2,4,41,4.589020907,0,0,0,0,7,0,0,0,0,1,0,0,0
38,16,0,5,72,4.740262544,0,4,0,0,10,9,2,5,0,1,0,0,0
38,0,0,3,47,4.442574756,0,0,0,0,10,1,0,0,0,0,0,0,0
41,0,0,5,50,4.47856294,0,0,0,0,10,1,2,0,0,0,0,0,0
44,0,2,5,55,4.403642668,0,0,0,0,10,1,1,0,1,0,0,0,0
50,0,0,6,83,4.304525726,0,6,0,0,20,9,3,6,0,0,0,0,0
31,0,2,5,41,4.229145602,0,0,0,0,9,0,2,0,0,0,0,0,0
107,0,4,4,139,4.708575936,0,0,0,0,20,8,6,2,4,0,0,0,0
30,0,2,4,40,4.18418372,0,0,0,0,9,0,1,0,1,0,0,0,0
86,0,0,8,105,4.68245251,0,0,0,0,15,5,3,1,2,0,0,0,0
30,0,1,4,38,4.257098975,0,0,0,0,8,0,2,0,0,0,0,0,0
140,0,0,7,163,4.687069313,0,0,0,0,16,8,2,1,5,0,0,0,0
36,0,2,5,47,4.330144702,0,0,0,0,10,0,1,0,0,0,0,0,0
32,0,2,5,42,4.463280518,0,0,0,0,7,2,0,0,0,0,0,0,0
28,0,2,3,37,4.279551421,0,0,0,0,8,0,0,0,0,0,0,0,0
34,0,4,2,49,4.154229787,0,0,0,0,12,0,0,0,0,0,0,0,0
25,0,2,5,35,4.136286231,0,0,0,0,9,0,1,0,0,0,0,0,0
43,0,2,3,55,4.327283924,0,0,0,0,11,0,0,0,0,0,0,0,0
58,0,0,6,69,4.537245098,0,0,0,0,12,0,0,0,1,0,0,0,0
70,0,0,8,82,4.592086688,0,0,0,0,13,0,2,0,1,0,0,0,0
80,0,0,7,98,4.749241979,0,2,0,0,15,4,1,1,0,0,0,0,0
37,0,2,3,50,4.414177321,0,0,0,0,12,1,0,0,1,0,0,0,0
111,0,4,7,137,4.773554656,0,0,0,0,18,5,2,1,3,0,0,0,0
39,2,0,2,51,4.120297587,0,0,0,0,10,1,0,1,0,0,0,0,0
13,0,0,2,14,3.378783493,0,0,0,0,2,0,1,0,0,0,0,0,0
15,0,0,2,19,3.892407119,0,0,0,0,4,1,0,1,0,0,0,0,0
19,0,0,2,22,4.061482187,0,0,0,0,4,0,0,0,0,0,0,0,0
32,0,0,4,36,4.350209029,0,0,0,0,5,0,2,0,1,0,0,0,0
39,0,2,5,48,4.534829752,0,0,0,0,8,0,1,0,0,0,0,0,0
20,0,2,4,29,3.78834134,0,0,0,0,7,1,1,1,0,0,0,0,0
31,0,2,4,40,4.261768796,0,0,0,0,8,0,1,0,0,0,0,0,0
14,0,0,3,18,3.794653474,0,0,0,0,4,1,0,1,0,0,0,0,0
34,0,0,4,45,4.443825108,0,2,0,0,8,3,0,2,0,0,0,0,0
36,0,0,3,47,4.524666044,0,2,0,0,8,3,0,2,0,0,0,0,0
29,0,0,5,38,4.151835817,0,0,0,0,8,1,1,2,0,0,0,0,0
45,0,0,4,63,4.638892458,0,4,0,0,12,5,0,3,0,1,0,0,0
45,0,0,3,63,4.371356697,0,4,0,0,12,5,0,3,1,0,0,0,0
37,0,0,3,55,4.298386572,0,4,0,0,12,5,0,3,1,0,0,0,0
34,0,0,4,46,4.403784239,0,2,0,0,9,3,1,2,0,0,0,0,0
63,0,2,4,92,4.706870556,0,6,0,0,18,7,1,4,1,1,0,0,0
56,0,0,5,76,4.649377588,0,4,0,0,14,5,2,3,0,1,0,0,0
29,0,0,4,36,4.176190626,0,0,0,0,7,1,0,1,1,0,0,0,0
31,0,0,5,39,4.146777297,0,0,0,0,8,1,0,1,1,0,0,0,0
34,0,0,5,43,4.311935756,0,0,0,0,9,2,2,1,1,0,0,0,0
46,0,0,8,57,4.410808435,0,0,0,0,11,2,1,1,1,0,0,0,0
100,0,4,5,148,4.575228066,0,13,0,0,21,24,5,0,1,1,0,0,0
60,0,4,5,87,4.698639394,0,6,0,0,14,10,2,0,0,0,0,0,0
52,0,0,6,63,4.563650558,0,0,0,0,12,2,3,0,1,0,0,1,0
48,0,0,9,59,4.555460634,0,0,0,0,12,2,2,0,0,0,0,1,0
56,0,0,6,76,4.599790922,0,4,0,0,14,5,2,3,1,0,0,0,0
44,0,0,4,58,4.368937409,0,4,0,0,10,4,0,2,0,0,0,0,0
16,0,0,3,20,3.98418372,0,0,0,0,4,1,1,1,0,0,0,0,0
30,0,0,4,39,4.211702142,0,2,0,0,7,2,0,1,0,0,0,0,0
16,0,0,2,18,3.794653474,0,0,0,0,3,0,0,0,0,0,0,0,0
21,0,2,3,29,3.978333581,0,0,0,0,7,0,1,0,0,0,0,0,0
28,0,2,3,39,3.952068886,0,0,0,0,9,1,1,1,0,0,0,0,0
18,1,0,2,24,3.970175521,0,0,0,0,5,1,0,1,0,0,0,0,0
35,1,0,3,45,4.191201429,0,0,0,0,9,1,1,1,1,0,0,0,0
32,2,0,4,41,4.375487065,0,0,0,0,7,1,0,1,0,0,0,0,0
39,2,0,2,51,4.120297587,0,0,0,0,10,1,0,1,0,0,0,0,0
33,1,0,5,47,4.436943639,0,2,0,0,10,3,0,2,0,0,0,0,0
32,1,0,4,46,4.425098369,0,2,0,0,10,3,0,2,0,0,0,0,0
59,1,0,4,76,4.569992731,0,2,0,0,13,3,0,2,1,1,0,0,0
34,0,2,6,44,4.277613437,0,0,0,0,9,0,1,0,0,0,0,0,0
35,0,2,5,45,4.222532752,0,0,0,0,9,0,1,0,2,0,0,0,0
33,0,2,2,44,4.1412498,0,0,0,0,9,1,0,1,0,0,0,0,0
58,2,0,4,76,4.220809575,0,0,0,0,14,3,0,3,0,0,0,0,0
27,1,0,2,38,3.879506461,0,0,0,0,9,2,0,2,0,0,0,0,0
57,3,0,3,77,4.244204893,0,0,0,0,16,2,0,2,0,0,0,0,0
81,5,0,3,110,4.212012431,0,0,0,0,22,3,0,3,0,0,0,0,0
60,3,0,3,79,4.36462525,0,0,0,0,15,2,0,2,0,0,0,0,0
54,1,0,6,73,4.544005157,0,2,0,0,14,4,1,3,0,0,0,0,0
37,1,0,5,51,4.446360146,0,2,0,0,10,3,0,2,0,0,0,0,0
54,1,0,4,71,4.573502007,0,2,0,0,13,3,0,2,0,0,0,0,0
25,0,2,3,33,4.187889195,0,0,0,0,7,0,0,0,0,0,0,0,0
32,0,2,5,46,4.445091511,0,2,0,1,9,3,2,2,0,0,0,0,0
41,0,4,3,56,4.4580063,0,0,0,0,12,0,0,0,0,0,0,0,0
38,0,4,4,53,4.339929458,0,0,0,0,12,0,0,0,0,0,0,0,0
34,0,4,4,49,4.169635654,0,0,0,0,12,0,0,0,0,0,0,0,0
24,0,2,4,32,4.202819531,0,0,0,0,7,0,0,0,0,0,0,0,0
30,0,2,3,38,4.504120605,0,0,0,0,7,0,0,0,0,0,0,0,0
21,0,2,3,29,4.116264616,0,0,0,0,7,0,0,0,0,0,0,0,0
46,0,0,5,58,4.597301418,0,2,0,1,9,3,2,2,0,1,0,0,0
38,0,0,4,50,4.698633691,0,2,0,2,8,3,1,3,0,0,0,0,0
39,0,2,5,53,4.551231247,0,2,0,1,9,3,2,2,1,0,0,0,0
47,0,2,5,69,4.741590974,0,6,0,0,13,9,2,1,0,0,0,0,0
54,0,2,7,77,4.660958742,0,6,0,0,14,9,4,1,0,0,0,0,0
46,0,2,6,61,4.376737542,0,0,0,0,13,1,2,1,0,0,0,0,0
34,4,0,4,48,4.273802147,0,0,0,0,10,1,1,1,0,1,0,0,0
37,4,0,5,52,4.346967787,0,0,0,0,11,1,2,1,0,1,0,0,0
45,0,0,5,59,4.455849669,0,4,0,0,10,5,2,1,0,1,0,0,0
43,0,0,4,57,4.566560024,0,0,4,0,10,1,1,1,1,1,0,0,0
46,0,0,5,61,4.469500814,0,4,0,0,11,5,2,1,1,1,0,0,0
53,16,0,5,83,4.93329542,0,0,0,0,10,5,1,5,0,1,0,0,0
34,16,0,4,68,4.661937886,0,4,0,0,10,9,1,5,0,1,0,0,0
39,0,4,4,54,4.406579441,0,0,0,0,12,0,1,0,0,0,0,0,0
26,0,2,4,34,4.138502179,0,0,0,0,7,0,0,0,0,0,0,0,0
30,0,2,6,38,4.273728829,0,0,0,0,7,0,2,0,0,0,0,0,0
23,0,2,3,31,4.171465262,0,0,0,0,7,0,0,0,0,0,0,0,0
34,16,0,4,68,4.603114356,0,4,0,0,10,9,1,5,0,1,0,0,0
38,0,0,5,47,4.400021564,0,0,0,0,10,1,0,0,0,0,0,0,0
44,0,0,3,53,4.551231247,0,0,0,0,10,1,0,0,0,0,0,0,0
44,0,2,4,55,4.562822441,0,0,0,0,10,1,2,0,0,0,0,0,0
51,0,0,4,84,4.340924197,0,6,0,0,21,9,1,6,0,0,0,0,0
31,0,2,4,41,4.180365114,0,0,0,0,9,0,2,0,0,0,0,0,0
120,0,4,3,152,4.804757272,0,0,0,0,21,8,3,2,3,0,0,0,0
26,0,2,4,36,4.016875696,0,0,0,0,9,0,1,0,0,0,0,0,0
89,0,0,7,108,4.808655847,0,0,0,0,15,5,1,1,4,0,0,0,0
28,0,1,4,36,4.2907171,0,0,0,0,8,0,1,0,0,0,0,0,0
143,0,0,6,166,4.688150107,0,0,0,0,16,8,3,1,5,0,0,0,0
38,0,2,4,49,4.358610354,0,0,0,0,10,0,1,0,0,0,0,0,0
29,0,2,4,39,4.528741321,0,0,0,0,8,2,0,0,0,0,0,0,0
29,0,2,3,38,4.237233515,0,0,0,0,8,0,1,0,0,0,0,0,0
37,0,4,3,52,4.194316443,0,0,0,0,12,0,1,0,0,1,0,0,0
30,0,2,5,40,4.403055907,0,0,0,0,9,0,1,0,0,0,0,0,0
45,0,2,3,57,4.429834427,0,0,0,0,11,0,1,0,0,0,0,0,0
53,0,0,7,64,4.368464441,0,0,0,0,12,0,0,0,1,0,0,0,0
61,0,0,9,73,4.550800717,0,0,0,0,13,0,2,0,1,0,0,0,0
76,0,0,6,94,4.727243434,0,2,0,0,15,4,1,1,0,0,0,0,0
45,0,2,3,58,4.672997272,0,0,0,0,13,1,0,0,0,0,0,0,0
103,0,4,6,129,4.796972051,0,0,0,0,19,5,3,1,3,0,0,0,0
11,0,0,1,12,3.418295834,0,0,0,0,2,0,0,0,0,0,0,0,0
14,0,0,2,18,3.794653474,0,0,0,0,4,1,0,1,0,0,0,0,0
22,0,0,2,25,4.10346519,0,0,0,0,4,0,0,0,0,0,0,0,0
27,0,0,4,31,4.155651552,0,0,0,0,5,0,1,0,0,0,0,0,0
40,0,2,5,49,4.473563988,0,0,0,0,8,0,1,0,0,0,0,0,0
19,0,2,3,28,3.9677201,0,0,0,0,7,1,0,1,0,0,0,0,0
37,0,2,4,46,4.427771261,0,0,0,0,8,0,2,0,0,0,0,0,0
15,0,0,2,19,3.892407119,0,0,0,0,4,1,0,1,0,0,0,0,0
33,0,0,5,44,4.478493904,0,2,0,0,8,3,2,2,0,0,0,0,0
30,0,0,3,41,4.292881652,0,2,0,0,8,3,0,2,0,0,0,0,0
30,0,0,4,39,4.281267361,0,0,0,0,8,1,0,2,0,0,0,0,0
46,0,0,4,64,4.576979722,0,4,0,0,12,5,0,3,0,1,0,0,0
42,0,0,5,60,4.243087507,0,4,0,0,12,5,0,3,1,0,0,0,0
39,0,0,4,57,4.094761982,0,4,0,0,12,5,0,3,1,0,0,0,0
33,0,0,5,45,4.514075319,0,2,0,0,9,3,1,2,0,0,0,0,0
62,0,2,4,91,4.572023664,0,6,0,0,18,7,0,4,1,2,0,0,0
53,0,0,8,73,4.587090733,0,4,0,0,14,5,4,3,0,1,0,0,0
35,0,0,5,42,4.492926053,0,0,0,0,7,1,2,1,1,0,0,0,0
31,0,0,6,39,4.198059348,0,0,0,0,8,1,1,1,1,0,0,0,0
35,0,0,4,44,4.433039358,0,0,0,0,9,2,0,1,1,0,0,0,0
38,0,0,7,49,4.333199895,0,0,0,0,11,2,0,1,1,0,0,0,0
100,0,4,7,148,4.67031367,0,13,0,0,21,24,6,0,0,0,0,0,0
57,0,4,6,84,4.676307704,0,6,0,0,14,10,2,0,0,0,0,0,0
44,0,0,5,55,4.53055994,0,0,0,0,12,2,0,0,1,0,0,1,0
41,0,0,8,52,4.483435631,0,0,0,0,12,2,1,0,1,0,0,1,0
58,0,0,5,78,4.477253982,0,4,0,0,14,5,0,3,0,0,0,0,0
39,0,0,7,53,4.416415266,0,4,0,0,10,4,1,2,0,0,0,0,0
14,0,0,2,18,3.683542362,0,0,0,0,4,1,0,1,0,0,0,0,0
26,0,0,3,35,4.125871146,0,2,0,0,7,2,0,1,1,0,0,0,0
16,0,0,2,18,3.794653474,0,0,0,0,3,0,0,0,0,0,0,0,0
23,0,2,2,31,4.195816472,0,0,0,0,7,0,0,0,0,0,0,0,0
32,0,2,4,43,4.10638365,0,0,0,0,9,1,2,1,1,0,0,0,0
16,1,0,3,23,3.757925414,0,0,0,0,6,1,0,1,0,0,0,0,0
18,1,0,2,24,4.001629167,0,0,0,0,5,1,0,1,0,0,0,0,0
33,1,0,2,43,4.111629289,0,0,0,0,9,1,0,1,0,0,0,0,0
23,2,0,3,32,3.804229297,0,0,0,0,7,1,0,1,0,0,0,0,0
41,2,0,2,53,4.15889186,0,0,0,0,10,1,0,1,0,0,0,0,0
34,1,0,5,48,4.433208073,0,2,0,0,10,3,1,2,0,0,0,0,0
45,1,0,5,59,4.661641354,0,2,0,0,10,3,0,2,0,0,0,0,0
54,1,0,3,71,4.594766444,0,2,0,0,13,3,0,2,0,0,0,0,0
